/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb252f7-846e-11ee-bd64-c09bf4619c03.wav,осадить на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_39_18.wav,осадить на восемьдесят три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_51_38.wav,остановка
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_41_25.wav,вышел из межвагонного пространства
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_32_51.wav,вперед на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_42_59.wav,осадить на двадцать семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9a726b-846e-11ee-8c10-c09bf4619c03.wav,осадить на пятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_24_08.wav,остановка
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__09_54_58.wav,назад с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_38_20.wav,осадить на восемьдесят девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_26_12.wav,осадить на семнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9cb90e-846e-11ee-bd44-c09bf4619c03.wav,осадить на семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_40_27.wav,осадить на восемьдесят два вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb0eb30-846e-11ee-bf9a-c09bf4619c03.wav,осадить на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_45_01.wav,протянуть на двадцать семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_26_36.wav,протянуть на четырнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa793d8-846e-11ee-9b54-c09bf4619c03.wav,протянуть на пять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa6e97b-846e-11ee-b075-c09bf4619c03.wav,протянуть на одиннадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_53_09.wav,захожу в межвагонное пространство
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9e302f-846e-11ee-9066-c09bf4619c03.wav,осадить на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_43_21.wav,отцепка
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbe8597-846e-11ee-9cc9-c09bf4619c03.wav,сжать автосцепки
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_32_17.wav,осадить на девятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_35_40.wav,вперед на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fadc46d-846e-11ee-9015-c09bf4619c03.wav,прекратить зарядку тормозной магистрали
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_43_37.wav,осадить на двадцать шесть вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_34_00.wav,вышел из межвагонного пространства
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_49_13.wav,вперед с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_35_42.wav,тише
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__09_51_40.wav,назад на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_21_04.wav,протянуть на тринадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fae175c-846e-11ee-a0ce-c09bf4619c03.wav,вышел из межвагонного пространства
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_38_51.wav,прекратить зарядку тормозной магистрали
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9b72b5-846e-11ee-b2ab-c09bf4619c03.wav,осадить на пять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_23_01.wav,растянуть автосцепки
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_29_51.wav,тормозить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_36_21.wav,осадить на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_08_54.wav,осадить на двенадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa86287-846e-11ee-8bdd-c09bf4619c03.wav,протянуть на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_58_18.wav,протянуть на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_41_06.wav,осадить на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_56_24.wav,начать осаживание
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_10_10.wav,осадить на один вагон
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__09_53_09.wav,вперед на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_32_40.wav,тише
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9d5d5e-846e-11ee-b773-c09bf4619c03.wav,осадить на пятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_35_35.wav,отпустить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb28b93-846e-11ee-979c-c09bf4619c03.wav,осадить на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_25_18.wav,начать осаживание
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb7e709-846e-11ee-941a-c09bf4619c03.wav,протянуть на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f988668-846e-11ee-9b41-c09bf4619c03.wav,подтверждение
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_40_40.wav,растянуть автосцепки
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_36_38.wav,протянуть на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fba2d30-846e-11ee-8d39-c09bf4619c03.wav,осадить на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_22_35.wav,отпустить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_14_44.wav,продолжаем роспуск
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa35682-846e-11ee-885e-c09bf4619c03.wav,протянуть на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa5115a-846e-11ee-ac48-c09bf4619c03.wav,протянуть на один вагон
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_14_32.wav,осадить на десять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_44_03.wav,отказ
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9ccd52-846e-11ee-bae1-c09bf4619c03.wav,осадить на девятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa6c3e7-846e-11ee-ae2e-c09bf4619c03.wav,протянуть на пятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_05_25.wav,протянуть на двадцать семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_07_24.wav,протянуть на двадцать вагонов вперед
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__09_54_01.wav,вперед с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_32_07.wav,остановка
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb9e4ed-846e-11ee-b1b4-c09bf4619c03.wav,осадить на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9d4804-846e-11ee-a4c6-c09bf4619c03.wav,осадить на тринадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_02_25.wav,вперед на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_19_39.wav,захожу в межвагонное пространство
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_39_30.wav,протянуть на семнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb21b46-846e-11ee-87b2-c09bf4619c03.wav,осадить на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9d225b-846e-11ee-afc0-c09bf4619c03.wav,осадить на четырнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbea4c4-846e-11ee-aad7-c09bf4619c03.wav,сжать автосцепки
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__13_00_46.wav,назад на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_55_04.wav,подтверждение
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_55_22.wav,протянуть на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_20_17.wav,протянуть на двадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_43_25.wav,осадить на двадцать четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_10_14.wav,протянуть на двадцать семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa02391-846e-11ee-a8cb-c09bf4619c03.wav,осадить на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_58_29.wav,протянуть на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa71052-846e-11ee-bbb2-c09bf4619c03.wav,протянуть на десять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb532ae-846e-11ee-a684-c09bf4619c03.wav,осадить на пятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fba693b-846e-11ee-845d-c09bf4619c03.wav,осадить на двенадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_27_43.wav,отмена
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbb1081-846e-11ee-aced-c09bf4619c03.wav,осадить на одиннадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_38_41.wav,зарядка тормозной магистрали
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa9b155-846e-11ee-913e-c09bf4619c03.wav,отмена
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_48_23.wav,отмена
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_01_19.wav,отказ
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_09_39.wav,осадить на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbb925e-846e-11ee-bce1-c09bf4619c03.wav,осадить на семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_52_29.wav,тормозить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fc16945-846e-11ee-b863-c09bf4619c03.wav,осадить на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_04_53.wav,вперед с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_44_23.wav,осадить на один вагон
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_46_32.wav,тормозить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_43_40.wav,осадить на двадцать восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f98f779-846e-11ee-b891-c09bf4619c03.wav,зарядка тормозной магистрали
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fac37f1-846e-11ee-94b3-c09bf4619c03.wav,осадить на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_49_36.wav,протянуть на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb2e88e-846e-11ee-b33c-c09bf4619c03.wav,осадить на шестнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa72297-846e-11ee-a15a-c09bf4619c03.wav,протянуть на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_10_55.wav,осадить на двадцать шесть вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_51_06.wav,протянуть на пятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_02_07.wav,растянуть автосцепки
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f98da18-846e-11ee-9086-c09bf4619c03.wav,вышел из межвагонного пространства
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_32_48.wav,вперед с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9f8cd9-846e-11ee-a422-c09bf4619c03.wav,осадить на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__13_06_47.wav,протянуть на шестнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_39_06.wav,осадить на двадцать шесть вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9aa033-846e-11ee-a310-c09bf4619c03.wav,осадить на одиннадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbd05bc-846e-11ee-89dd-c09bf4619c03.wav,осадить на девятнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_38_03.wav,осадить на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_37_05.wav,осадить на восемьдесят два вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa5950c-846e-11ee-b1cd-c09bf4619c03.wav,протянуть на два вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_22_02.wav,отмена
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa68a5f-846e-11ee-9825-c09bf4619c03.wav,протянуть на семнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__09_58_39.wav,протянуть на пять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_14_01.wav,подтверждение
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_38_50.wav,осадить на восемьдесят пять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa4c69c-846e-11ee-b3f1-c09bf4619c03.wav,протянуть на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_42_46.wav,осадить на двадцать семь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fbcc145-846e-11ee-9d64-c09bf4619c03.wav,осадить на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb47401-846e-11ee-8c8b-c09bf4619c03.wav,осадить на девять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_28_43.wav,отказ
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb26629-846e-11ee-911b-c09bf4619c03.wav,осадить на десять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_05_19.wav,отпустить
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fba9e02-846e-11ee-b839-c09bf4619c03.wav,осадить на семнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f98e8bd-846e-11ee-b80c-c09bf4619c03.wav,подтверждение
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__10_14_41.wav,протянуть на одиннадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_10_41.wav,назад с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa0751d-846e-11ee-9333-c09bf4619c03.wav,осадить на два вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/11_10_2023/2023_10_11__10_14_13.wav,протянуть на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa6fcc3-846e-11ee-87a0-c09bf4619c03.wav,протянуть на шестнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_20_54.wav,осадить на двадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa9e7c4-846e-11ee-9ac3-c09bf4619c03.wav,вперед с башмака
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_40_14.wav,осадить на два вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_38_13.wav,продолжаем роспуск
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/02_11_2023/2023_11_02__10_46_25.wav,осадить на три вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_19_50.wav,прекратить зарядку тормозной магистрали
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_27_21.wav,продолжаем осаживание
